ET_FID,X,Y,Id,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,WIDS_,WIDS_ID,DXF_LAYER,CLASS,TEXT,ET_X,ET_Y,ET_ANGLE,ET_STATION,ET_ID
86,572542.388966128,137183.001811163,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.38897,137183.00181,179.8541,258,0
87,572542.39656104,137180.001820777,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.39656,137180.00182,179.8561,261,0
88,572542.404155953,137177.001830391,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.40416,137177.00183,179.8541,264,0
89,572542.411750865,137174.001840004,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.41175,137174.00184,179.8561,267,0
90,572542.419345777,137171.001849618,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.41935,137171.00185,179.8541,270,0
91,572542.42694069,137168.001859232,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.42694,137168.00186,179.8561,273,0
92,572542.434535602,137165.001868846,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.43454,137165.00187,179.8541,276,0
93,572542.370196293,137162.003101473,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.3702,137162.0031,182.0935,279,0
94,572542.260624603,137159.005103133,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.26062,137159.0051,182.0935,282,0
95,572542.151052912,137156.007104794,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.15105,137156.0071,182.0935,285,0
96,572542.041481221,137153.009106454,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.04148,137153.00911,182.0935,288,0
97,572541.93190953,137150.011108114,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.93191,137150.01111,182.0935,291,0
98,572541.822337839,137147.013109775,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.82234,137147.01311,182.0935,294,0
99,572541.712766148,137144.015111435,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.71277,137144.01511,182.0935,297,0
100,572541.603194457,137141.017113095,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.60319,137141.01711,182.0935,300,0
101,572541.493622766,137138.019114756,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.49362,137138.01911,182.0935,303,0
102,572541.384051075,137135.021116416,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.38405,137135.02112,182.0935,306,0
103,572541.175378907,137132.031498129,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.17538,137132.0315,187.5746,309,0
104,572540.779966,137129.057670859,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572540.77997,137129.05767,187.5746,312,0
105,572540.384553094,137126.083843589,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572540.38455,137126.08384,187.5726,315,0
106,572539.989140188,137123.110016319,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572539.98914,137123.11002,187.5726,318,0
107,572539.593727281,137120.136189048,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572539.59373,137120.13619,187.5746,321,0
108,572539.198314375,137117.162361778,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572539.19831,137117.16236,187.5746,324,0
109,572538.802901468,137114.188534508,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.8029,137114.18853,187.5726,327,0
110,572538.407488562,137111.214707237,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.40749,137111.21471,187.5746,330,0
111,572538.012075656,137108.240879967,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.01208,137108.24088,187.5746,333,0
112,572537.925467632,137107.589517055,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.92547,137107.58952,187.5732,0,0
113,572537.530060901,137104.615688964,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.53006,137104.61569,187.5771,3,0
114,572537.13465417,137101.641860873,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.13465,137101.64186,187.5732,6,0
115,572536.815389518,137098.663194032,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.81539,137098.66319,179.6972,9,0
116,572536.831168409,137095.663235528,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.83117,137095.66324,179.6972,12,0
117,572536.8469473,137092.663277024,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.84695,137092.66328,179.6972,15,0
118,572536.862726191,137089.66331852,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.86273,137089.66332,179.6972,18,0
119,572536.878505082,137086.663360016,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.87851,137086.66336,179.6972,21,0
120,572536.894283974,137083.663401512,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.89428,137083.6634,179.6972,24,0
121,572536.910062865,137080.663443008,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.91006,137080.66344,179.6972,27,0
122,572536.925841756,137077.663484503,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.92584,137077.66348,179.6972,30,0
123,572536.96264533,137074.663916595,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.96265,137074.66392,178.1711,33,0
124,572537.058305038,137071.665442113,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.05831,137071.66544,178.1711,36,0
125,572537.153964745,137068.66696763,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.15396,137068.66697,178.175,39,0
126,572537.249624452,137065.668493148,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.24962,137065.66849,178.1711,42,0
127,572537.34528416,137062.670018666,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.34528,137062.67002,178.175,45,0
128,572537.440943867,137059.671544184,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.44094,137059.67154,178.1711,48,0
129,572537.536603575,137056.673069702,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.5366,137056.67307,178.175,51,0
130,572537.632263282,137053.674595219,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.63226,137053.6746,178.1711,54,0
131,572537.727922989,137050.676120737,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.72792,137050.67612,178.1711,57,0
132,572537.823582697,137047.677646255,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.82358,137047.67765,178.175,60,0
133,572537.919242404,137044.679171773,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.91924,137044.67917,178.1711,63,0
134,572538.014902111,137041.680697291,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.0149,137041.6807,178.175,66,0
135,572538.110561819,137038.682222808,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.11056,137038.68222,178.1711,69,0
136,572538.206221526,137035.683748326,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.20622,137035.68375,178.1711,72,0
137,572538.094711946,137032.691865593,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.09471,137032.69187,185.4747,75,0
138,572537.808626737,137029.705537538,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.80863,137029.70554,185.4709,78,0
139,572537.522541528,137026.719209482,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.52254,137026.71921,185.4708,81,0
140,572537.23645632,137023.732881427,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.23646,137023.73288,185.4708,84,0
141,572536.950371111,137020.746553372,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.95037,137020.74655,185.4709,87,0
142,572536.664285903,137017.760225317,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.66429,137017.76023,185.4708,90,0
143,572536.378200694,137014.773897262,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.3782,137014.7739,185.4709,93,0
144,572536.092115485,137011.787569206,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.09212,137011.78757,185.4709,96,0
145,572535.806030277,137008.801241151,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572535.80603,137008.80124,185.4708,99,0
146,572535.519945068,137005.814913096,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572535.51995,137005.81491,185.4709,102,0
147,572535.233859859,137002.828585041,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572535.23386,137002.82859,185.4709,105,0
148,572534.947774651,136999.842256986,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572534.94777,136999.84226,185.4708,108,0
149,572534.575982249,136996.878757145,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572534.57598,136996.87876,204.3586,111,0
150,572533.338722419,136994.145775602,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572533.33872,136994.14578,204.3586,114,0
151,572532.101462589,136991.412794059,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572532.10146,136991.41279,204.3555,117,0
152,572530.86420276,136988.679812516,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572530.8642,136988.67981,204.3555,120,0
153,572529.241822689,136986.223343743,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572529.24182,136986.22334,226.999,123,0
154,572527.047795449,136984.177312347,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572527.0478,136984.17731,226.999,126,0
155,572524.85376821,136982.131280952,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572524.85377,136982.13128,226.999,129,0
156,572522.65974097,136980.085249556,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572522.65974,136980.08525,226.9983,132,0
157,572520.186392653,136978.401664089,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572520.18639,136978.40166,237.7621,135,0
158,572517.648895209,136976.801318276,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572517.6489,136976.80132,237.7621,138,0
159,572515.111397764,136975.200972464,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572515.1114,136975.20097,237.7621,141,0
160,572512.349665548,136974.154945891,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572512.34967,136974.15495,258.1902,144,0
161,572509.413172098,136973.540937568,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572509.41317,136973.54094,258.1894,147,0
162,572506.476678649,136972.926929246,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572506.47668,136972.92693,258.1912,150,0
163,572503.537000514,136972.343313221,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572503.537,136972.34331,269.8466,153,0
164,572500.537011318,136972.335261637,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572500.53701,136972.33526,269.8457,156,0
165,572497.537022123,136972.327210053,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572497.53702,136972.32721,269.8466,159,0
166,572494.537032928,136972.319158469,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572494.53703,136972.31916,269.8457,162,0
167,572491.551784066,136972.436107339,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572491.55178,136972.43611,283.605,165,0
168,572488.635957089,136973.141765217,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572488.63596,136973.14177,283.605,168,0
169,572485.720130112,136973.847423095,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.72013,136973.84742,283.604,171,0
170,572480.110467632,137035.144117055,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572480.11047,137035.14412,12.1453,0,0
171,572480.7413915,137038.077022624,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572480.74139,137038.07702,12.1334,3,0
172,572481.372315368,137041.009928192,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572481.37232,137041.00993,12.1453,6,0
173,572482.003239235,137043.942833761,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.00324,137043.94283,12.1334,9,0
174,572482.634163103,137046.875739329,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.63416,137046.87574,12.1334,12,0
175,572483.265086971,137049.808644897,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572483.26509,137049.80864,12.1447,15,0
176,572483.896010839,137052.741550466,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572483.89601,137052.74155,12.1327,18,0
177,572484.526934706,137055.674456034,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572484.52693,137055.67446,12.1447,21,0
178,572485.157858574,137058.607361602,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.15786,137058.60736,12.1453,24,0
179,572485.788782442,137061.540267171,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.78878,137061.54027,12.1334,27,0
180,572485.900546979,137064.503427602,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.90055,137064.50343,354.5325,30,0
181,572485.614576811,137067.489766675,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.61458,137067.48977,354.5325,33,0
182,572485.328606643,137070.476105749,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.32861,137070.47611,354.52,36,0
183,572485.042636476,137073.462444823,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572485.04264,137073.46244,354.5325,39,0
184,572484.756666308,137076.448783896,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572484.75667,137076.44878,354.5322,42,0
185,572484.47069614,137079.43512297,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572484.4707,137079.43512,354.5322,45,0
186,572484.184725972,137082.421462044,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572484.18473,137082.42146,354.5203,48,0
187,572483.898755804,137085.407801117,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572483.89876,137085.4078,354.5322,51,0
188,572483.583637057,137088.391192191,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572483.58364,137088.39119,353.9188,54,0
189,572484.938367632,136974.036617055,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572484.93837,136974.03662,283.603,0,0
190,572482.022540121,136974.742272725,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.02254,136974.74227,283.605,3,0
